key,en,es,fr,ja,ko,zh-CN
app.description,1,1,0,1,1,1
app.name,1,1,1,1,1,1
app.version,1,1,1,1,1,1
auth.email,1,1,1,1,1,1
auth.forgotPassword,1,1,1,1,1,1
auth.login,1,1,1,1,1,1
auth.loginFailed,1,1,0,1,1,1
auth.loginSuccess,1,1,0,1,1,0
auth.logout,1,1,1,1,1,1
auth.password,1,1,1,1,1,1
auth.register,1,1,1,1,1,1
auth.username,1,1,1,1,1,1
common.cancel,1,1,1,1,1,1
common.close,1,1,1,0,0,1
common.confirm,1,1,1,1,1,1
common.delete,1,1,1,1,1,1
common.edit,1,1,1,1,1,1
common.error,1,1,1,1,1,1
common.loading,1,1,1,1,1,1
common.save,1,1,1,1,1,1
common.search,1,1,1,1,1,1
common.success,1,1,1,1,0,1
dashboard.activeUsers,1,1,1,1,1,1
dashboard.newUsers,1,1,1,1,1,1
dashboard.quickActions,1,1,0,1,1,0
dashboard.recentActivity,1,1,0,1,1,1
dashboard.revenue,1,1,1,1,1,0
dashboard.statistics,1,1,1,1,1,1
dashboard.title,1,1,1,1,1,1
dashboard.totalUsers,1,1,1,1,1,1
dashboard.welcome,1,1,1,1,1,1
extra.bonusFeature,0,1,0,0,0,0
extra.specialOffer,0,1,0,0,0,0
profile.avatar,1,1,0,1,0,1
profile.bio,1,1,0,1,0,1
profile.notifications,1,1,0,1,0,1
profile.preferences,1,1,0,1,0,0
profile.security,1,1,0,1,0,0
profile.settings,1,1,0,1,0,1
profile.title,1,1,0,1,0,1
validation.emailInvalid,1,1,0,1,1,0
validation.maxLength,1,1,0,1,1,0
validation.minLength,1,1,0,1,1,0
validation.passwordMismatch,1,1,0,1,1,0
validation.required,1,1,0,1,1,0
